[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Kernel shutdown: 0715db9d-a3de-47ce-b158-318e9b5cd095
[NotebookApp | INFO] Shutting down on /api/shutdown request.
[NotebookApp | INFO] Shutting down 0 kernels
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /media/pop/data1/NSI/Cours/Periode1/Architecture
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://127.0.0.1:8888/?token=f294be9080c1c66a4e3e96049ec4bb8c5a5d746e7ccbb263
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///run/user/1000/jupyter/nbserver-4949-open.html
    Or copy and paste one of these URLs:
        http://127.0.0.1:8888/?token=f294be9080c1c66a4e3e96049ec4bb8c5a5d746e7ccbb263
[NotebookApp | INFO] 302 GET /notebooks/img/IAS_von_Neumann.jpg (127.0.0.1) 3.82ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-originel2.png (127.0.0.1) 3.52ms
[NotebookApp | INFO] 302 GET /notebooks/img/control_unit.png (127.0.0.1) 5.53ms
[NotebookApp | INFO] 302 GET /notebooks/img/as_instruction.jpg (127.0.0.1) 7.09ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-actuel.png (127.0.0.1) 3.09ms
[NotebookApp | INFO] 302 GET /notebooks/img/harvard.001.jpg (127.0.0.1) 3.89ms
[NotebookApp | INFO] Kernel started: 116d9e60-db7c-466f-b234-865241a57a57
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 116d9e60-db7c-466f-b234-865241a57a57
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: 1465e083-fa20-4ec7-b2bd-d2ead4cc9634
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 1465e083-fa20-4ec7-b2bd-d2ead4cc9634
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Kernel shutdown: 1465e083-fa20-4ec7-b2bd-d2ead4cc9634
[NotebookApp | INFO] Kernel shutdown: 116d9e60-db7c-466f-b234-865241a57a57
[NotebookApp | INFO] Shutting down on /api/shutdown request.
[NotebookApp | INFO] Shutting down 0 kernels
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /media/pop/data1/NSI/Cours/Periode1/Architecture
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://127.0.0.1:8888/?token=e2218d2284f14e3017b9ac1f140904ddd60010910c087d43
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///run/user/1000/jupyter/nbserver-9139-open.html
    Or copy and paste one of these URLs:
        http://127.0.0.1:8888/?token=e2218d2284f14e3017b9ac1f140904ddd60010910c087d43
[NotebookApp | INFO] Kernel started: 72946f91-18d7-441f-a072-cec0177f3ba7
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 72946f91-18d7-441f-a072-cec0177f3ba7
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Kernel shutdown: 72946f91-18d7-441f-a072-cec0177f3ba7
[NotebookApp | INFO] Shutting down on /api/shutdown request.
[NotebookApp | INFO] Shutting down 0 kernels
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /media/pop/data1/NSI/Cours/Periode1/Architecture
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://127.0.0.1:8888/?token=3a061d44c2b4bc2afb13338216a9d607124b5269bf1bff5d
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///run/user/1000/jupyter/nbserver-6407-open.html
    Or copy and paste one of these URLs:
        http://127.0.0.1:8888/?token=3a061d44c2b4bc2afb13338216a9d607124b5269bf1bff5d
[NotebookApp | WARNING] Notebook Architecture.ipynb is not trusted
[NotebookApp | INFO] 302 GET /notebooks/img/IAS_von_Neumann.jpg (127.0.0.1) 5.60ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-originel2.png (127.0.0.1) 5.04ms
[NotebookApp | INFO] 302 GET /notebooks/img/control_unit.png (127.0.0.1) 11.22ms
[NotebookApp | INFO] 302 GET /notebooks/img/as_instruction.jpg (127.0.0.1) 3.92ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-actuel.png (127.0.0.1) 3.55ms
[NotebookApp | INFO] 302 GET /notebooks/img/harvard.001.jpg (127.0.0.1) 3.82ms
[NotebookApp | INFO] Kernel started: 368000ad-8409-41c3-8a1f-9ef33984f012
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 368000ad-8409-41c3-8a1f-9ef33984f012
[NotebookApp | WARNING] Notebook Architecture_prof.ipynb is not trusted
[NotebookApp | INFO] Kernel started: b6fdf89c-017e-4c6e-9855-3712bea05250
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel b6fdf89c-017e-4c6e-9855-3712bea05250
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture_prof.ipynb
[NotebookApp | INFO] Starting buffering for 368000ad-8409-41c3-8a1f-9ef33984f012:014147749fea4d03869570847bfcacc3
[NotebookApp | INFO] Starting buffering for b6fdf89c-017e-4c6e-9855-3712bea05250:2724bbd30a0944c89b0f5a4eda28f37d
[NotebookApp | INFO] interrupted
[NotebookApp | CRITICAL] Shutdown confirmed
[NotebookApp | INFO] Shutting down 2 kernels
[NotebookApp | INFO] Kernel shutdown: 368000ad-8409-41c3-8a1f-9ef33984f012
[NotebookApp | INFO] Kernel shutdown: b6fdf89c-017e-4c6e-9855-3712bea05250
